script,backbone,dataset,num_classes,n_seeds,dry_run,float_test_accuracy,final_test_accuracy,abc_mean_acc,abc_std_acc,abc_mean_bops_wa,abc_std_bops_wa,random_mean_acc,cma_mean_acc,run_complete
abc_q_cifar10_full.py,mobilenetv2,cifar10,10,10,False,0.8219000101089478,0.8176000118255615,0.7800000011920929,0.017701213916459586,0.47486030856199457,0.02376246325044294,0.7757000029087067,0.8212999939918518,True
abc_q_cifar10_resnet20.py,resnet20,cifar10,10,3,False,0.9083999991416931,0.9077000021934509,0.8953333298365275,0.005686233882650133,0.5855025670136396,0.03281809105751322,0.8853333393732706,0.9053333401679993,True
abc_q_efficientnet_cifar10.py,efficientnetb0,cifar10,10,5,False,0.8212000131607056,0.8206999897956848,0.7946000099182129,0.005899141197434965,0.5155550636424394,0.03627172644035163,0.7919999957084656,0.8197999954223633,True
abc_q_cifar100_mobilenet.py,mobilenetv2,cifar100,100,10,False,0.5078999996185303,0.5033000111579895,0.4037999927997589,0.03943151916706592,0.5655008358802897,0.07200664211133292,0.37099999785423277,0.4860000014305115,True
abc_q_cifar100_resnet.py,resnet20,cifar100,100,3,False,0.647599995136261,0.6453999876976013,0.624666670958201,0.02205295560178582,0.6660499595481941,0.14072212462977815,0.5823333462079366,0.6430000066757202,True
